,Who,Where,When,What,Why,How,Additional information
0,1,0.0,0,0.8284313725490196,0.0,0.0,0.8833333333333333
1,1,1.0,1,1.0,1.0,1.0,0.9772727272727273
2,1,0.7692307692307693,0,0.8333333333333334,0.0,1.0,1.0
3,0,1.0,0,0.8333333333333333,0.0,1.0,0.0
4,1,1.0,0,0.7692307692307693,0.0,0.0,1.0
5,-1,1.0,0,0.7142857142857143,0.0,1.0,0.0
6,1,0.8842105263157893,0,1.0,0.0,0.0,0.0
7,1,1.0,0,1.0,0.0,0.0,1.0
8,1,1.0,0,0.7444444444444445,0.0,0.0,0.0
9,1,0.0,0,1.0,0.0,-1.0,0.0
10,1,0.0,0,0.9210526315789473,0.0,0.0,1.0
11,-1,1.0,0,0.6967418546365914,0.0,-1.0,1.0
12,1,0.0,0,1.0,0.0,1.0,0.0
13,1,1.0,0,0.75,0.0,0.6608695652173913,1.0
14,1,0.6666666666666666,0,0.6904761904761905,-1.0,-1.0,0.8314393939393939
15,1,1.0,1,0.5833333333333333,0.0,0.0,1.0
16,1,1.0,0,1.0,0.0,1.0,0.7058823529411765
17,1,0.8888888888888888,0,0.6666666666666666,0.0,0.0,0.0
18,1,0.0,0,0.9523809523809524,1.0,0.0,0.0
19,1,0.0,0,1.0,-1.0,0.0,1.0
20,1,0.0,0,0.85,0.0,1.0,0.0
21,1,1.0,0,1.0,0.0,0.0,0.0
22,1,0.0,0,0.8,0.0,0.0,0.0
23,1,0.0,0,0.9,0.0,0.0,1.0
24,1,0.0,0,1.0,0.0,0.0,0.0
25,1,1.0,0,0.6333333333333333,0.0,1.0,1.0
26,1,0.0,0,0.7569444444444444,0.0,0.0,1.0
27,1,1.0,0,0.7611111111111111,0.0,0.0,0.0
28,1,0.6893106893106893,0,0.7142857142857143,0.0,0.0,0.0
29,1,1.0,0,0.6623931623931625,0.0,0.0,0.0
30,1,0.0,0,0.48717948717948717,0.0,0.0,1.0
31,0,0.0,0,1.0,0.0,1.0,0.0
32,1,0.575657894736842,0,0.8529411764705883,0.0,0.0,0.0
33,-1,1.0,0,0.2,0.0,-1.0,0.0
34,1,-1.0,0,0.3333333333333333,1.0,0.0,0.0
35,1,0.0,0,0.9411764705882352,0.0,0.0,1.0
36,1,0.7142857142857143,0,0.75,0.0,0.0,0.0
37,1,0.0,0,0.8,0.0,-1.0,0.0
38,1,1.0,0,0.7611111111111111,0.0,0.0,1.0
39,1,1.0,0,0.9666666666666667,0.0,0.0,1.0
40,1,1.0,0,1.0,0.0,0.0,1.0
41,1,0.8125,0,0.5555555555555556,0.0,0.0,0.0
42,1,0.0,0,0.6666666666666666,0.0,1.0,0.0
43,1,0.6666666666666666,0,0.7777777777777778,0.0,0.0,0.0
44,1,0.0,0,0.8131868131868132,0.0,0.0,1.0
45,1,1.0,0,0.9411764705882353,-1.0,-1.0,0.0
46,1,0.0,0,0.8333333333333333,-1.0,1.0,1.0
47,1,0.0,0,1.0,0.0,0.0,1.0
48,1,-1.0,0,0.6666666666666666,1.0,1.0,0.5
49,-1,0.41666666666666663,0,1.0,1.0,0.5,0.0
50,1,1.0,0,1.0,0.0,1.0,0.0
51,1,-1.0,0,1.0,0.0,0.0,1.0
52,-1,0.9375,0,0.5882352941176471,0.0,1.0,0.0
53,1,0.0,0,0.9,0.0,1.0,1.0
54,1,0.7272727272727273,0,1.0,0.0,0.0,0.0
55,1,0.0,0,1.0,0.0,0.0,1.0
56,1,0.4807692307692308,0,1.0,0.0,0.0,0.0
57,1,1.0,0,0.5267857142857143,0.0,0.0,0.0
58,1,0.7777777777777778,0,1.0,0.0,1.0,1.0
59,1,1.0,-1,1.0,0.0,0.6611721611721612,1.0
60,1,0.6875,0,0.43567251461988304,0.0,0.0,0.0
61,1,0.0,0,0.26666666666666666,0.0,0.0,1.0
62,1,0.8333333333333333,0,0.8461538461538461,0.0,0.0,0.0
63,1,0.5,0,0.6666666666666666,0.0,0.0,0.0
64,1,1.0,0,1.0,0.0,-1.0,1.0
65,1,1.0,0,0.8424242424242424,1.0,1.0,1.0
66,1,0.0,0,1.0,1.0,0.0,0.0
67,-1,1.0,-1,0.5,0.0,0.0,0.0
68,1,1.0,0,0.8333333333333333,0.0,0.0,1.0
69,1,1.0,0,0.7846153846153847,0.0,0.0,1.0
70,1,1.0,0,0.6153846153846154,0.0,0.0,0.0
71,1,0.0,0,0.6376811594202898,0.0,1.0,0.0
72,1,0.0,0,0.6666666666666666,0.0,0.0,-1.0
